category	watterson	tajima	fay_wu	pop	species	method	D_tajima	H_fay_wu
$0<S<1$	0.13315741996582992	0.08928486115763316	0.04404847217570017	IRBT	Bos_taurus	Omega	-0.04387255880819675	0.045236388981932996
Synonymous	0.12935820326525324	0.0879888472349701	0.04534448609836321	IRBT	Bos_taurus	Omega	-0.04136935603028315	0.042644361136606884
$-1<S<0$	0.1331356543519455	0.08963461023237661	0.04369872310095675	IRBT	Bos_taurus	Omega	-0.043501044119568885	0.045935887131419856
$-3<S<-1$	0.14221090245807072	0.0926621924182765	0.04067114091505684	IRBT	Bos_taurus	Omega	-0.04954871003979422	0.051991051503219664
$S<-3$	0.16356097238370151	0.09893492728119566	0.03439840605213764	IRBT	Bos_taurus	Omega	-0.06462604510250586	0.06453652122905801
Synonymous	0.12938639381141187	0.08798212006123257	0.04535121327210075	IRBT	Bos_taurus	SIFT	-0.0414042737501793	0.04263090678913182
$0.8<SIFT$	0.1701151711084595	0.10771806296463056	0.02561527036870277	IRBT	Bos_taurus	SIFT	-0.06239710814382894	0.08210279259592779
$0.3<SIFT<0.8$	0.17684142350711554	0.10945307829048584	0.023880255042847482	IRBT	Bos_taurus	SIFT	-0.0673883452166297	0.08557282324763836
$0.1<SIFT<0.3$	0.18419013883327773	0.1105435725910545	0.022789760742278824	IRBT	Bos_taurus	SIFT	-0.07364656624222322	0.08775381184877568
$SIFT<0.1$	0.1910896847854532	0.1120145754436834	0.02131875788964996	IRBT	Bos_taurus	SIFT	-0.07907510934176981	0.09069581755403344
$1<S$	0.1107446843627508	0.08518636039594857	0.04814697293738477	UGBT	Bos_taurus	MutSel	-0.02555832396680223	0.0370393874585638
$0<S<1$	0.1247421108317446	0.0913476665029226	0.04198566683041072	UGBT	Bos_taurus	MutSel	-0.03339444432882199	0.04936199967251188
Synonymous	0.12286030938159498	0.09090275353604667	0.04243057979728662	UGBT	Bos_taurus	MutSel	-0.03195755584554831	0.04847217373876005
$-1<S<0$	0.1326792800836869	0.09416647772096756	0.0391668556123658	UGBT	Bos_taurus	MutSel	-0.03851280236271934	0.054999622108601764
$-3<S<-1$	0.14317053623581147	0.09787054663400814	0.035462786699325184	UGBT	Bos_taurus	MutSel	-0.04529998960180333	0.062407759934682956
$S<-3$	0.17115397985001748	0.10467415340784282	0.028659179925490517	UGBT	Bos_taurus	MutSel	-0.06647982644217466	0.07601497348235231
$1<S$	0.10853998135649776	0.08651344635457958	0.04681988697875381	UGBT	Bos_taurus	Omega	-0.022026535001918174	0.03969355937582577
$0<S<1$	0.1237875951737262	0.09119001125306582	0.04214332208026753	UGBT	Bos_taurus	Omega	-0.03259758392066038	0.04904668917279829
Synonymous	0.12299510063280206	0.09097380946438097	0.0423595238689524	UGBT	Bos_taurus	Omega	-0.03202129116842109	0.04861428559542857
$-1<S<0$	0.12872564244785928	0.0930231373997146	0.04031019593361872	UGBT	Bos_taurus	Omega	-0.03570250504814468	0.05271294146609588
$-3<S<-1$	0.13481119472549766	0.09436935894319314	0.0389639743901402	UGBT	Bos_taurus	Omega	-0.04044183578230452	0.05540538455305293
$S<-3$	0.15768797036143514	0.1004500766697355	0.03288325666359783	UGBT	Bos_taurus	Omega	-0.05723789369169964	0.06756682000613767
Synonymous	0.12276914572256258	0.09087634078933908	0.042456992543994265	UGBT	Bos_taurus	SIFT	-0.031892804933223495	0.048419348245344815
$0.8<SIFT$	0.14291903506572545	0.10057000709476012	0.032763326238573184	UGBT	Bos_taurus	SIFT	-0.04234902797096533	0.06780668085618693
$0.3<SIFT<0.8$	0.1575784126113461	0.1047549891116734	0.02857834422165991	UGBT	Bos_taurus	SIFT	-0.052823423499672714	0.0761766448900135
$0.1<SIFT<0.3$	0.16643929258517845	0.10685512419563636	0.02647820913769697	UGBT	Bos_taurus	SIFT	-0.059584168389542086	0.0803769150579394
$SIFT<0.1$	0.17936022945144514	0.10942563479138548	0.023907698541947846	UGBT	Bos_taurus	SIFT	-0.06993459466005966	0.08551793624943763
$1<S$	0.1208114170652252	0.10934721205146984	0.072470969766712	Equus	Equus_caballus	MutSel	-0.011464205013755363	0.036876242284757846
$0<S<1$	0.14168230743799173	0.12163482312273388	0.060183358695447976	Equus	Equus_caballus	MutSel	-0.020047484315257852	0.061451464427285905
Synonymous	0.1413877092517168	0.1215824493798514	0.06023573243833043	Equus	Equus_caballus	MutSel	-0.01980525987186539	0.06134671694152097
$-1<S<0$	0.15006144126859014	0.12590205600689874	0.055916125811283066	Equus	Equus_caballus	MutSel	-0.024159385261691396	0.06998593019561568
$-3<S<-1$	0.16297749227805858	0.13078385329307834	0.05103432852510344	Equus	Equus_caballus	MutSel	-0.03219363898498023	0.07974952476797491
$S<-3$	0.17940953923291642	0.13664650332912662	0.04517167848905522	Equus	Equus_caballus	MutSel	-0.0427630359037898	0.0914748248400714
$1<S$	0.12098619058427207	0.11458333333333333	0.06723484848484848	Equus	Equus_caballus	Omega	-0.00640285725093874	0.04734848484848485
$0<S<1$	0.1425283878767548	0.1214698000412286	0.06034838177695321	Equus	Equus_caballus	Omega	-0.02105858783552618	0.0611214182642754
Synonymous	0.1413877092517168	0.1215824493798514	0.06023573243833043	Equus	Equus_caballus	Omega	-0.01980525987186539	0.06134671694152097
$-1<S<0$	0.14440776980674214	0.12311909054118685	0.058699091276994964	Equus	Equus_caballus	Omega	-0.02128867926555529	0.06441999926419188
$-3<S<-1$	0.15402136453445794	0.12601901662070733	0.055799165197474486	Equus	Equus_caballus	Omega	-0.028002347913750614	0.07021985142323284
$S<-3$	0.16502865129262692	0.13025415444770286	0.051564027370478986	Equus	Equus_caballus	Omega	-0.03477449684492406	0.07869012707722386
$1<S$	0.12356116136792425	0.0863161795753582	0.04701715375797512	IROA	Ovis_aries	MutSel	-0.03724498179256605	0.03929902581738308
$0<S<1$	0.12590756490908547	0.08812172178654637	0.04521161154678696	IROA	Ovis_aries	MutSel	-0.0377858431225391	0.04291011023975941
Synonymous	0.12028647005505864	0.0862886207515681	0.04704471258176523	IROA	Ovis_aries	MutSel	-0.03399784930349055	0.03924390816980287
$-1<S<0$	0.1301505236987245	0.08943975848234836	0.04389357485098495	IROA	Ovis_aries	MutSel	-0.04071076521637615	0.04554618363136342
$-3<S<-1$	0.1419897731793717	0.09388370969338987	0.03944962363994345	IROA	Ovis_aries	MutSel	-0.04810606348598183	0.05443408605344642
$S<-3$	0.17224885580961996	0.1019540163700896	0.03137931696324377	IROA	Ovis_aries	MutSel	-0.07029483943953035	0.07057469940684584
$1<S$	0.11016070250058548	0.08207391900120929	0.051259414332124005	IROA	Ovis_aries	Omega	-0.028086783499376183	0.030814504669085287
$0<S<1$	0.12709293483509482	0.0894885579018024	0.04384477543153093	IROA	Ovis_aries	Omega	-0.03760437693329241	0.045643782470271475
Synonymous	0.1203381386694402	0.08631094055821223	0.04702239277512111	IROA	Ovis_aries	Omega	-0.034027198111227966	0.03928854778309112
$-1<S<0$	0.12616737470973607	0.0880024113672892	0.045330921966044144	IROA	Ovis_aries	Omega	-0.03816496334244687	0.04267148940124506
$-3<S<-1$	0.13790505057855373	0.09219735767735454	0.0411359756559788	IROA	Ovis_aries	Omega	-0.04570769290119919	0.051061382021375744
